name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW170110_194238,GW170110_194238-v1,1387620938.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231226_101520-v1,40.1,-2.9,4.4,35.0,-4.9,3.2,34.7,,,1180.0,-350.0,240.0,-0.09,-0.1,0.09,74.8,-3.0,4.1,32.4,-1.4,1.8,,,,0.23,-0.06,0.04,1e-05,,,0.99,,,71.4,-2.8,3.8
GW220217_101326,GW220217_101326-v1,1387421020.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231224_024321-v1,9.3,-1.1,2.2,7.3,-1.3,1.0,14.0,,,950.0,-400.0,290.0,-0.01,-0.06,0.08,16.66,-0.78,1.29,7.13,-0.29,0.48,,,,0.19,-0.07,0.05,1e-05,,,0.99,,,15.89,-0.76,1.26
GW170427_142856,GW170427_142856-v1,1387398397.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_202619-v1,11.1,-1.6,3.8,8.3,-1.9,1.4,10.0,,,890.0,-440.0,490.0,0.1,-0.11,0.13,19.6,-1.5,2.2,8.36,-0.57,0.66,,,,0.18,-0.08,0.08,0.002,,,0.99,,,18.7,-1.5,2.2
GW241015_174536,GW241015_174536-v1,1387353073.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_075055-v1,11.9,-2.8,6.8,6.8,-2.1,2.0,9.4,,,970.0,-430.0,580.0,0.06,-0.12,0.22,19.0,-2.0,4.6,7.79,-0.59,0.58,,,,0.19,-0.08,0.1,0.55,,,0.98,,,18.1,-1.9,4.8
GW171207_011046,GW171207_011046-v1,1387337334.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_032836-v1,46.0,-11.0,16.0,31.0,-14.0,12.0,10.2,,,4200.0,-2100.0,3100.0,-0.15,-0.37,0.33,76.0,-13.0,18.0,31.8,-7.0,8.6,,,,0.67,-0.3,0.39,0.00038,,,0.99,,,73.0,-13.0,17.0
GW250304_103419,GW250304_103419-v1,1387201859.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231221_135041-v1,47.0,-13.0,21.0,28.0,-13.0,13.0,10.0,,,4600.0,-2500.0,3700.0,0.01,-0.38,0.36,76.0,-15.0,21.0,30.7,-6.8,9.5,,,,0.73,-0.36,0.45,0.54,,,0.96,,,72.0,-15.0,20.0
GW210925_162103,GW210925_162103-v1,1387128864.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231220_173406-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,6.2,,,0.77,,,,,
GW150226_052315,GW150226_052315-v1,1386501275.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231213_111417-v1,35.5,-6.7,10.3,27.2,-7.5,8.1,10.4,,,4000.0,-2000.0,2300.0,0.06,-0.23,0.24,62.5,-9.3,14.3,26.7,-4.2,6.3,,,,0.65,-0.29,0.3,1e-05,,,0.99,,,59.5,-8.8,13.4
GW160412_225648,GW160412_225648-v1,1385941159.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233901-v1,37.6,-4.6,6.6,28.4,-6.0,5.4,21.9,,,1490.0,-490.0,340.0,-0.05,-0.15,0.14,66.0,-3.7,5.3,28.1,-1.7,2.7,,,,0.28,-0.08,0.05,1e-05,,,0.99,,,63.1,-3.4,5.0
GW220618_185413,GW220618_185413-v1,1385940712.5,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233134-v1,35.6,-6.3,9.1,28.1,-7.1,7.5,12.8,,,3200.0,-1800.0,1800.0,-0.09,-0.24,0.22,63.5,-8.8,13.4,27.2,-3.9,5.9,,,,0.54,-0.27,0.25,1e-05,,,0.99,,,60.6,-8.4,12.7
GW221008_102846,GW221008_102846-v1,1385860007.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_010629-v1,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,6.8999999999999995,,,0.58,,,,,
GW221021_191456,GW221021_191456-v1,1385716026.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231204_090648-v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,3.5999999999999996,,,0.54,,,,,
GW250111_002043,GW250111_002043-v1,1385281083.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231129_081745-v1,45.0,-13.0,15.0,23.8,-8.2,10.0,9.4,,,3800.0,-2100.0,3600.0,0.02,-0.26,0.27,69.0,-14.0,18.0,27.7,-5.7,7.7,,,,0.63,-0.31,0.45,0.056,,,0.99,,,66.0,-14.0,17.0
GW160110_095918,GW160110_095918-v1,1385139198.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231127_165300-v1,45.0,-12.0,18.0,29.0,-12.0,12.0,9.9,,,4500.0,-2500.0,3600.0,0.05,-0.32,0.3,74.0,-15.0,22.0,30.5,-6.7,9.5,,,,0.71,-0.35,0.44,0.01,,,0.99,,,71.0,-14.0,21.0
GW240415_213721,GW240415_213721-v1,1384996186.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231126_010928-v1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,4.2,,,0.86,,,,,
GW160420_120726,GW160420_120726-v1,1384782888.6,1,O4_Discovery_Papers,https://doi.org/10.7935/anj7-6q40,https://gwosc.org/api/v2/event-versions/GW231123_135430-v1,137.0,-18.0,23.0,101.0,-50.0,22.0,20.7,-0.3,0.2,2200.0,-1500.0,1900.0,0.32,-0.41,0.25,236.0,-47.0,30.0,,,,,,,0.4,-0.25,0.27,0.0001,,,,,,222.0,-42.0,28.0
